Alabama,01001,Autauga County,11.7,33.9
Alabama,01003,Baldwin County,9.9,25.7
Alabama,01005,Barbour County,13.2,37.1
Alabama,01007,Bibb County,11.2,34.1
Alabama,01009,Blount County,11.5,32.1
Alabama,01011,Bullock County,15.6,39.2
Alabama,01013,Butler County,14.6,41.3
Alabama,01015,Calhoun County,12.9,33.8
Alabama,01017,Chambers County,14.2,35.5
Alabama,01019,Cherokee County,11.2,31.1
Alabama,01021,Chilton County,11.1,35.3
Alabama,01023,Choctaw County,14.3,38.8
Alabama,01025,Clarke County,12.9,35.7
Alabama,01027,Clay County,12.7,34.8
Alabama,01029,Cleburne County,11.1,30.1
Alabama,01031,Coffee County,12.5,32.2
Alabama,01033,Colbert County,11.7,33.4
Alabama,01035,Conecuh County,14.1,33.5
Alabama,01037,Coosa County,12.8,34
Alabama,01039,Covington County,10.9,37.2
Alabama,01041,Crenshaw County,12.2,37.4
Alabama,01043,Cullman County,11.9,32.2
Alabama,01045,Dale County,12.6,35.6
Alabama,01047,Dallas County,14.2,41.9
Alabama,01049,DeKalb County,10.3,34
Alabama,01051,Elmore County,11.8,31.3
Alabama,01053,Escambia County,12.1,35.9
Alabama,01055,Etowah County,11.8,32.5
Alabama,01057,Fayette County,12.2,36.9
Alabama,01059,Franklin County,13.3,31.4
Alabama,01061,Geneva County,12,35.9
Alabama,01063,Greene County,16.2,47.9
Alabama,01065,Hale County,14,43.5
Alabama,01067,Henry County,12.8,34
Alabama,01069,Houston County,11.2,33.3
Alabama,01071,Jackson County,12,30.8
Alabama,01073,Jefferson County,11.7,31.9
Alabama,01075,Lamar County,11.1,32.6
Alabama,01077,Lauderdale County,12.2,33
Alabama,01079,Lawrence County,12.4,38
Alabama,01081,Lee County,11.3,29.8
Alabama,01083,Limestone County,10,31.3
Alabama,01085,Lowndes County,16.4,44.7
Alabama,01087,Macon County,14.2,41.7
Alabama,01089,Madison County,11.2,31.3
Alabama,01091,Marengo County,14.8,40.4
Alabama,01093,Marion County,10.6,33.2
Alabama,01095,Marshall County,10.9,29.2
Alabama,01097,Mobile County,11.6,31.7
Alabama,01099,Monroe County,12.2,35.7
Alabama,01101,Montgomery County,13.5,34.1
Alabama,01103,Morgan County,10.2,33
Alabama,01105,Perry County,17.8,40.5
Alabama,01107,Pickens County,13.9,36.9
Alabama,01109,Pike County,15,37
Alabama,01111,Randolph County,12.6,32.5
Alabama,01113,Russell County,12.5,39.5
Alabama,01115,St. Clair County,12.5,35.5
Alabama,01117,Shelby County,8.3,27.6
Alabama,01119,Sumter County,16.8,42.4
Alabama,01121,Talladega County,13.3,36.9
Alabama,01123,Tallapoosa County,12,37.7
Alabama,01125,Tuscaloosa County,11.8,34.4
Alabama,01127,Walker County,13,35
Alabama,01129,Washington County,11.4,36.3
Alabama,01131,Wilcox County,15.5,43.6
Alabama,01133,Winston County,10.3,36.5
Alaska,02013,Aleutians East Borough,7.8,31.2
Alaska,02016,Aleutians West,8,28
Alaska,02020,Anchorage Municipality,7.4,25.6
Alaska,02050,Bethel Census Area,7.1,30.1
Alaska,02060,Bristol Bay Borough,7.3,34.1
Alaska,02068,Denali Borough,6.3,27.5
Alaska,02070,Dillingham Census Area,8.5,33.8
Alaska,02090,Fairbanks North Star,7.1,27.4
Alaska,02100,Haines Borough,6.9,30.8
Alaska,02105,Hoonah-Angoon 2009 Census,7.7,32.6
Alaska,02110,Juneau City and Borough,5.8,25.8
Alaska,02122,Kenai Peninsula Borough,6,28.1
Alaska,02130,Ketchikan Gateway Borough,7,31.8
Alaska,02150,Kodiak Island Borough,6.7,29.5
Alaska,02164,Lake and Peninsula Borough,8.2,33.4
Alaska,02170,Matanuska-Susitna Borough,5.5,29
Alaska,02180,Nome Census Area,8.1,35.5
Alaska,02185,North Slope Borough,8.5,39
Alaska,02188,Northwest Arctic Borough,7.3,29.7
Alaska,02195,Petersburg 2009 Census,6.6,30.6
Alaska,02198,Prince of Wales-Hyder 2009 Census,7,35.6
Alaska,02201,Prince of Wales-Outer K 2004 to 2008 Census,No Data,No Data
Alaska,02220,Sitka City and Borough,6.9,29.4
Alaska,02230,Skagway Municipality 2009 Census,6,27.1
Alaska,02232,Hoonah-Angoon 2004 to 2008 Census,No Data,No Data
Alaska,02240,Southeast Fairbanks Census,6,30.4
Alaska,02261,Valdez-Cordova Census Area,6.8,28.4
Alaska,02270,Wade Hampton Census Area,7.7,29.8
Alaska,02275,Wrangell City and Borough 2009 Census,6.7,30
Alaska,02280,Wrangell-Petersburg 2004 to 2008 Census,No Data,No Data
Alaska,02282,Yakutat City and Borough,7.5,29.9
Alaska,02290,Yukon-Koyukuk Census Area,7.4,32.2
Arizona,04001,Apache County,13.1,33.1
Arizona,04003,Cochise County,7.2,23.8
Arizona,04005,Coconino County,7.5,24.9
Arizona,04007,Gila County,8.7,26.5
Arizona,04009,Graham County,9.6,32.5
Arizona,04011,Greenlee County,8.7,35.4
Arizona,04012,La Paz County,9.2,32.6
Arizona,04013,Maricopa County,7.6,23.6
Arizona,04015,Mohave County,9.5,27.9
Arizona,04017,Navajo County,12.3,31.6
Arizona,04019,Pima County,7.1,25.9
Arizona,04021,Pinal County,9,29.8
Arizona,04023,Santa Cruz County,6.1,21.8
Arizona,04025,Yavapai County,6.6,22
Arizona,04027,Yuma County,8.7,30.2
Arkansas,05001,Arkansas County,11.3,36.5
Arkansas,05003,Ashley County,10.4,39.4
Arkansas,05005,Baxter County,8,29.8
Arkansas,05007,Benton County,7.2,28
Arkansas,05009,Boone County,9.9,29.7
Arkansas,05011,Bradley County,11.9,32.3
Arkansas,05013,Calhoun County,10.5,34.5
Arkansas,05015,Carroll County,9.1,26.6
Arkansas,05017,Chicot County,12.8,38.6
Arkansas,05019,Clark County,10.7,34.1
Arkansas,05021,Clay County,10.6,33.2
Arkansas,05023,Cleburne County,10.4,27.4
Arkansas,05025,Cleveland County,10.7,32.9
Arkansas,05027,Columbia County,11.8,32.2
Arkansas,05029,Conway County,10.3,33.2
Arkansas,05031,Craighead County,10.9,33.1
Arkansas,05033,Crawford County,8.2,33.3
Arkansas,05035,Crittenden County,13.1,37.2
Arkansas,05037,Cross County,10.6,34.5
Arkansas,05039,Dallas County,10.7,34.2
Arkansas,05041,Desha County,12.1,37.9
Arkansas,05043,Drew County,11,35.9
Arkansas,05045,Faulkner County,10.8,32.2
Arkansas,05047,Franklin County,10,34.8
Arkansas,05049,Fulton County,9.3,31.7
Arkansas,05051,Garland County,8.6,28.4
Arkansas,05053,Grant County,9.2,35.7
Arkansas,05055,Greene County,10,34.4
Arkansas,05057,Hempstead County,12.4,36.4
Arkansas,05059,Hot Spring County,10.2,34.7
Arkansas,05061,Howard County,11.6,34.7
Arkansas,05063,Independence County,10.1,30.1
Arkansas,05065,Izard County,8.4,30
Arkansas,05067,Jackson County,11,32
Arkansas,05069,Jefferson County,12.9,38.2
Arkansas,05071,Johnson County,9.8,35.6
Arkansas,05073,Lafayette County,10.5,31
Arkansas,05075,Lawrence County,10.7,34.6
Arkansas,05077,Lee County,12,36.7
Arkansas,05079,Lincoln County,10.6,36.2
Arkansas,05081,Little River County,10.4,33.1
Arkansas,05083,Logan County,10.1,29.2
Arkansas,05085,Lonoke County,11,33.8
Arkansas,05087,Madison County,9.8,30.9
Arkansas,05089,Marion County,10.4,33.3
Arkansas,05091,Miller County,12.3,37.9
Arkansas,05093,Mississippi County,12.1,38.8
Arkansas,05095,Monroe County,11,36.8
Arkansas,05097,Montgomery County,9.1,28.7
Arkansas,05099,Nevada County,12,35.6
Arkansas,05101,Newton County,11,35.9
Arkansas,05103,Ouachita County,11.6,37.4
Arkansas,05105,Perry County,10,32.8
Arkansas,05107,Phillips County,13.2,39.7
Arkansas,05109,Pike County,9.7,31.4
Arkansas,05111,Poinsett County,10.4,36.9
Arkansas,05113,Polk County,9.4,38.5
Arkansas,05115,Pope County,9,32
Arkansas,05117,Prairie County,9.5,32.5
Arkansas,05119,Pulaski County,10,32.1
Arkansas,05121,Randolph County,11.1,35.7
Arkansas,05123,St. Francis County,12.1,37.8
Arkansas,05125,Saline County,10,31.1
Arkansas,05127,Scott County,9.4,32.3
Arkansas,05129,Searcy County,10.1,31.7
Arkansas,05131,Sebastian County,9.7,30
Arkansas,05133,Sevier County,12,32.2
Arkansas,05135,Sharp County,8.9,29.2
Arkansas,05137,Stone County,9.3,32.6
Arkansas,05139,Union County,10.1,31
Arkansas,05141,Van Buren County,9.1,31.9
Arkansas,05143,Washington County,9.1,29.6
Arkansas,05145,White County,9.4,31.5
Arkansas,05147,Woodruff County,10.6,34.2
Arkansas,05149,Yell County,12.2,36.3
California,06001,Alameda County,7.3,20.1
California,06003,Alpine County,7.9,24.9
California,06005,Amador County,8,24.8
California,06007,Butte County,8,24.8
California,06009,Calaveras County,6.7,25.6
California,06011,Colusa County,7.4,24.4
California,06013,Contra Costa County,6.9,24.2
California,06015,Del Norte County,7.6,27.2
California,06017,El Dorado County,6.5,20.4
